Price,Close,High,Low,Open,Volume
Ticker,BTC-EUR,BTC-EUR,BTC-EUR,BTC-EUR,BTC-EUR
Date,,,,,
2024-07-12,52735.64453125,54470.62109375,52703.203125,53293.234375,26400327985
2024-07-13,53014.19921875,53675.34765625,52064.09375,52732.22265625,23444399780
2024-07-14,54239.234375,54747.56640625,52919.8671875,53022.6875,15640366317
2024-07-15,55840.45703125,56315.9609375,54233.09375,54233.09375,20414718898
2024-07-16,59523.62109375,59523.62109375,55767.796875,55865.87109375,34954813353
2024-07-17,59710.68359375,59950.3828125,57324.9609375,59444.953125,38173719410
2024-07-18,58606.8203125,60625.67578125,58468.1796875,59705.80859375,29729053556
2024-07-19,58689.359375,59616.01171875,58057.2578125,58593.97265625,24989148041
2024-07-20,61243.5234375,61991.3828125,58147.609375,58687.76171875,33971537474
2024-07-21,61666.09765625,62076.59375,60866.62890625,61243.3125,17471952936
2024-07-22,62533.41015625,62803.11328125,60475.1640625,61667.26171875,24454023981
2024-07-23,62066.9140625,62859.69921875,61202.59375,62531.9921875,39166809666
2024-07-24,60764.15234375,62232.25390625,60349.62890625,62066.50390625,32816997090
2024-07-25,60313.63671875,61788.48828125,60107.02734375,60764.32421875,25345240793
2024-07-26,60615.48828125,60950.95703125,58540.125,60317.08984375,35309008904
2024-07-27,62462.1875,62734.0078125,60576.8359375,60610.5,28041948352
2024-07-28,62377.15234375,63835.25,61357.86328125,62461.9609375,31910863580
2024-07-29,62894.3671875,62826.50390625,61707.9609375,62372.84375,16625876181
2024-07-30,61759.64453125,64706.28125,61485.9609375,62897.3046875,37692361533
2024-07-31,61208.53125,61893.39453125,60429.5703125,61758.84765625,29013963677
2024-08-01,59700.8203125,61618.92578125,59605.734375,61208.76953125,28910966881
2024-08-02,60592.80859375,60792.93359375,57700.47265625,59706.91015625,37988354620
2024-08-03,56238.328125,60758.83203125,56027.55859375,60589.09765625,39431231452
2024-08-04,55585.69921875,56930.70703125,54812.953125,56238.09375,29087204906
2024-08-05,53266.53515625,55936.4453125,52407.671875,55582.03125,29108317988
2024-08-06,49304.3515625,53407.984375,45038.37890625,53260.4140625,99529351463
2024-08-07,51285.46484375,52206.23046875,49287.74609375,49304.25,45122317379
2024-08-08,50356.453125,52864.19921875,50001.52734375,51291.24609375,38103157719
2024-08-09,56537.16015625,57400.89453125,50099.9453125,50358.8046875,41501237507
2024-08-10,55731.78515625,56575.390625,54538.68359375,56553.71875,30598921216
2024-08-11,55783.09375,56266.765625,55189.34765625,55732.80859375,14411993673
2024-08-12,53807.890625,56545.390625,53458.43359375,55782.25,20856015121
2024-08-13,54274.421875,55526.203125,52791.109375,53807.8125,33905114288
2024-08-14,55119.671875,56103.04296875,53564.69921875,54275.96875,27580675923
2024-08-15,53342.25390625,55959.73828125,53082.84375,55121.0234375,27209714386
2024-08-16,52458.48828125,54466.453125,51189.15625,53338.61328125,32519571132
2024-08-17,53387.2109375,54308.3046875,52027.34375,52458.6484375,26606479153
2024-08-18,53917.390625,54112.91796875,53315.3515625,53386.69140625,12318980617
2024-08-19,53048.171875,54627.8515625,53013.1953125,53907.5625,16091723369
2024-08-20,53667.2578125,53776.28515625,52430.4609375,53045.22265625,23373723141
2024-08-21,53032.375,55436.89453125,52739.36328125,53667.2578125,28409666438
2024-08-22,54840.1953125,55455.33203125,52875.51171875,53034.3515625,29341679412
2024-08-23,54319.14453125,55146.19921875,53681.62109375,54834.03125,24851917265
2024-08-24,57213.828125,57974.99609375,54310.2734375,54318.28125,37964859067
2024-08-25,57338.5390625,57583.58984375,56839.05078125,57222.3203125,19146427674
2024-08-26,57494.30859375,58089.57421875,57029.88671875,57336.19140625,16826131344
2024-08-27,56321.13671875,57628.96875,56290.140625,57502.06640625,24794333199
2024-08-28,53237.3359375,56603.8125,51962.1875,56320.28515625,34985578636
2024-08-29,53060.8203125,54091.1875,52101.203125,53240.73046875,36216894051
2024-08-30,53598.01171875,55226.28125,53060.2734375,53060.67578125,29083150675
2024-08-31,53448.0234375,54040.52734375,52274.1640625,53598.390625,29194847697
2024-09-01,53315.74609375,53731.10546875,53130.9765625,53446.22265625,11214201177
2024-09-02,51903.12890625,53399.08203125,51800.2109375,53315.65625,22266274744
2024-09-03,53412.14453125,53677.03125,51684.05078125,51904.46484375,24429275142
2024-09-04,51982.25390625,54037.33984375,51976.953125,53406.46484375,24136933123
2024-09-05,52321.11328125,52798.265625,50391.5625,51981.64453125,32155085940
2024-09-06,50542.5859375,52616.2734375,50134.96875,52321.2578125,27926228591
2024-09-07,48645.58984375,51322.484375,47447.12890625,50542.31640625,44509439089
2024-09-08,48817.7578125,49447.5546875,48457.41796875,48645.890625,17187742401
2024-09-09,49466.16015625,49876.234375,48379.59375,48825.19140625,16477684792
2024-09-10,51668.25,52586.828125,49309.921875,49475.46875,31369187847
2024-09-11,52311.94140625,52625.76171875,51110.40234375,51668.76171875,26186164220
2024-09-12,52081.3046875,52624.3984375,50492.48828125,52313.37109375,33649403632
2024-09-13,52466.37109375,53060.16796875,52069.43359375,52081.3046875,30540651366
2024-09-14,54630.28515625,54699.484375,52003.33984375,52469.359375,29303759863
2024-09-15,54135.28125,54707.328125,53704.35546875,54628.31640625,14821341085
2024-09-16,53378.125,54483.9921875,52944.65625,54131.3203125,16343638904
2024-09-17,52287.5390625,53393.8984375,51691.578125,53380.28125,28782355555
